month_name,temperature_band,matches,avg_total_goals,avg_temperature
Apr,<5C,22,3.0454545454545454,3.5090909090909093
Apr,5-10C,131,3.0610687022900764,7.6603053435114505
Apr,10-15C,49,3.183673469387755,11.677551020408163
Apr,15-20C,2,3.5,15.9
Aug,10-15C,26,3.0,14.292307692307693
Aug,15-20C,108,2.8333333333333335,17.44351851851852
Aug,20-25C,9,2.111111111111111,23.077777777777776
Aug,25C+,3,4.666666666666667,25.266666666666666
Dec,<5C,80,2.9375,2.8537500000000002
Dec,5-10C,151,2.794701986754967,7.414569536423841
Dec,10-15C,25,2.8,10.904000000000002
Feb,<5C,59,2.711864406779661,3.2203389830508473
Feb,5-10C,126,2.8095238095238093,7.624603174603175
Feb,10-15C,27,2.4074074074074074,10.81111111111111
Jan,<5C,96,2.4583333333333335,2.7270833333333333
Jan,5-10C,65,2.769230769230769,7.309230769230769
Jan,10-15C,16,2.6875,11.0875
Jul,10-15C,24,2.75,13.883333333333333
Jul,15-20C,41,3.024390243902439,16.521951219512193
Jul,20-25C,1,4.0,21.0
Jun,10-15C,2,3.5,14.9
Jun,15-20C,16,2.0,16.1125
Jun,20-25C,8,2.125,21.6
Mar,<5C,54,2.740740740740741,3.4185185185185185
Mar,5-10C,81,2.7160493827160495,7.750617283950617
Mar,10-15C,8,3.625,10.55
May,5-10C,32,3.09375,8.515625
May,10-15C,116,3.1206896551724137,12.525862068965518
May,15-20C,27,3.2962962962962963,15.718518518518518
Nov,<5C,33,2.727272727272727,2.460606060606061
Nov,5-10C,79,3.1012658227848102,7.8632911392405065
Nov,10-15C,42,2.619047619047619,11.507142857142858
Oct,5-10C,46,3.152173913043478,8.945652173913043
Oct,10-15C,128,2.78125,12.071875
Oct,15-20C,21,2.380952380952381,16.576190476190476
Sep,5-10C,6,3.8333333333333335,8.916666666666666
Sep,10-15C,54,3.1296296296296298,13.268518518518519
Sep,15-20C,86,3.0348837209302326,17.153488372093022
