home_team,dry_matches,rainy_matches,dry_points,rainy_points,dry_goal_difference,rainy_goal_difference,normal_matches,cold_matches,normal_points,cold_points,normal_goal_difference,cold_goal_difference,mean_strength_proxy,rain_points_delta,rain_goal_difference_delta,cold_points_delta,cold_goal_difference_delta,rain_sample_balance,cold_sample_balance,strength_normalizer,rain_sensitivity_component,cold_sensitivity_component,climate_sensitivity_index,climate_sensitivity_label
Everton,21.0,74.0,1.4285714285714286,1.364864864864865,0.0,-0.08108108108108109,40.0,55.0,1.6,1.2181818181818183,0.2,-0.2545454545454545,1.1660350877192982,-0.06370656370656369,-0.08108108108108109,-0.38181818181818183,-0.45454545454545453,0.28378378378378377,0.7272727272727273,1.1660350877192982,0.0167731415555883,0.2517537611860718,13.426345137083004,highly affected
Watford,17.0,21.0,1.1176470588235294,0.6190476190476191,-0.35294117647058826,-1.3333333333333333,20.0,18.0,0.75,0.9444444444444444,-1.15,-0.6111111111111112,1.0,-0.49859943977591037,-0.980392156862745,0.19444444444444442,0.5388888888888888,0.8095238095238095,0.9,1.0,0.5206349206349206,-0.26799999999999996,12.63174603174603,highly affected
Nottingham Forest,10.0,28.0,1.3,1.3214285714285714,-0.2,0.07142857142857142,17.0,21.0,1.5294117647058822,1.1428571428571428,0.11764705882352941,-0.09523809523809523,1.0,0.021428571428571352,0.27142857142857146,-0.38655462184873945,-0.21288515406162464,0.35714285714285715,0.8095238095238095,1.0,-0.034438775510204064,0.2707482993197278,11.815476190476188,highly affected
Tottenham Hotspur,33.0,62.0,2.303030303030303,1.8064516129032258,1.3333333333333333,0.5161290322580645,44.0,51.0,2.0454545454545454,1.9215686274509804,0.6818181818181818,0.9019607843137255,1.6732978723404262,-0.49657869012707745,-0.8172043010752688,-0.12388591800356497,0.22014260249554374,0.532258064516129,0.8627450980392157,1.6732978723404262,0.18855261088748954,0.010661157750009736,9.960688431874964,highly affected
Crystal Palace,39.0,56.0,1.2820512820512822,1.4464285714285714,-0.1794871794871795,0.16071428571428573,43.0,52.0,1.6046511627906976,1.1923076923076923,0.3023255813953488,-0.21153846153846154,1.135886524822695,0.16437728937728924,0.3402014652014652,-0.41234347048300535,-0.5138640429338104,0.6964285714285714,0.8269230769230769,1.135886524822695,-0.1331222189799995,0.3223572378065721,9.46175094132863,highly affected
Leicester City,28.0,48.0,1.5714285714285714,1.5416666666666667,0.42857142857142855,0.3541666666666667,31.0,45.0,1.6774193548387097,1.4666666666666666,0.6774193548387096,0.17777777777777778,1.4976888888888886,-0.029761904761904656,-0.07440476190476186,-0.21075268817204318,-0.4996415770609318,0.5833333333333334,0.6888888888888889,1.4976888888888886,0.01680830464716004,0.1368033711199478,7.680583788355393,highly affected
Manchester City,28.0,67.0,2.392857142857143,2.4925373134328357,2.2857142857142856,1.8955223880597014,37.0,58.0,2.5675675675675675,2.396551724137931,2.7027027027027026,1.5689655172413792,2.362245614035088,0.0996801705756929,-0.3901918976545842,-0.1710158434296365,-1.1337371854613234,0.417910447761194,0.6379310344827587,2.362245614035088,0.008364672910533203,0.12417898404019365,6.627182847536342,highly affected
Brighton,27.0,68.0,1.2962962962962963,1.3823529411764706,0.2222222222222222,0.029411764705882353,51.0,44.0,1.4509803921568627,1.25,0.09803921568627451,0.06818181818181818,1.2983157894736839,0.08605664488017428,-0.19281045751633985,-0.2009803921568627,-0.02985739750445633,0.39705882352941174,0.8627450980392157,1.2983157894736839,-0.000732916522421215,0.09943974473900753,4.935341410829316,moderately affected
Aston Villa,20.0,75.0,2.2,1.4133333333333333,0.8,0.13333333333333333,37.0,58.0,1.4324324324324325,1.6724137931034482,0.35135135135135137,0.22413793103448276,1.375631578947368,-0.7866666666666668,-0.6666666666666667,0.23998136067101572,-0.1272134203168686,0.26666666666666666,0.6379310344827587,1.375631578947368,0.145516998040241,-0.06020367298134581,4.26566625294476,moderately affected
Luton Town,5.0,14.0,1.6,0.5714285714285714,0.0,-0.6428571428571429,7.0,12.0,0.5714285714285714,1.0,-0.7142857142857143,-0.3333333333333333,1.0,-1.0285714285714287,-0.6428571428571429,0.4285714285714286,0.380952380952381,0.35714285714285715,0.5833333333333334,1.0,0.32602040816326533,-0.24166666666666667,4.217687074829933,moderately affected
