home_team,rain_flag,cold_flag,matches,avg_points,avg_goal_difference,avg_total_goals,avg_strength_proxy
Arsenal,0,0,12,2.5833333333333335,1.5,3.8333333333333335,2.0516666666666663
Arsenal,0,1,22,1.7272727272727273,0.5,2.8636363636363638,1.7018181818181817
Arsenal,1,0,32,2.03125,0.84375,3.09375,1.835625
Arsenal,1,1,29,2.1724137931034484,1.2758620689655173,3.1379310344827585,1.8855172413793104
Aston Villa,0,0,9,2.5555555555555554,1.1111111111111112,2.2222222222222223,1.0933333333333333
Aston Villa,0,1,11,1.9090909090909092,0.5454545454545454,2.3636363636363638,1.4436363636363636
Aston Villa,1,0,28,1.0714285714285714,0.10714285714285714,3.107142857142857,1.185892857142857
Aston Villa,1,1,47,1.6170212765957446,0.14893617021276595,3.4680851063829787,1.526808510638298
Bournemouth,0,0,10,1.7,0.5,3.1,1.1075
Bournemouth,0,1,7,1.1428571428571428,-0.5714285714285714,2.857142857142857,0.637142857142857
Bournemouth,1,0,26,0.8846153846153846,-0.7307692307692307,2.5,1.0803846153846153
Bournemouth,1,1,14,1.5714285714285714,0.07142857142857142,2.7857142857142856,1.1857142857142857
Brentford,0,0,9,1.4444444444444444,0.1111111111111111,2.5555555555555554,1.5733333333333333
Brentford,0,1,11,1.0,-0.2727272727272727,2.8181818181818183,0.9327272727272727
Brentford,1,0,25,1.28,0.16,2.72,1.3898666666666666
Brentford,1,1,12,2.25,0.9166666666666666,3.0833333333333335,1.2
Brighton,0,0,13,1.0769230769230769,0.0,3.076923076923077,1.6938461538461538
Brighton,0,1,14,1.5,0.42857142857142855,2.2857142857142856,1.2442857142857142
Brighton,1,0,38,1.5789473684210527,0.13157894736842105,3.026315789473684,1.3610526315789473
Brighton,1,1,30,1.1333333333333333,-0.1,2.033333333333333,1.0726666666666667
Burnley,0,0,5,1.4,0.2,1.8,0.82
Burnley,0,1,16,0.875,-0.9375,2.3125,0.94875
Burnley,1,0,20,0.55,-1.35,2.95,0.9816666666666667
Burnley,1,1,35,1.2857142857142858,-0.05714285714285714,2.5142857142857142,1.0062857142857142
Chelsea,0,0,14,1.7857142857142858,0.5,2.7857142857142856,1.6542857142857144
Chelsea,0,1,21,1.8095238095238095,0.8095238095238095,2.3333333333333335,1.6028571428571428
Chelsea,1,0,37,1.6756756756756757,0.6486486486486487,2.864864864864865,1.6306306306306306
Chelsea,1,1,23,1.7391304347826086,0.5652173913043478,3.0,1.5382608695652171
Crystal Palace,0,0,14,1.7857142857142858,0.2857142857142857,2.0,1.1842857142857142
Crystal Palace,0,1,25,1.0,-0.44,2.2,1.1
Crystal Palace,1,0,29,1.5172413793103448,0.3103448275862069,2.9310344827586206,1.1625287356321838
Crystal Palace,1,1,27,1.3703703703703705,0.0,2.5925925925925926,1.0733333333333333
Everton,0,0,9,1.8888888888888888,0.4444444444444444,3.111111111111111,1.2333333333333334
Everton,0,1,12,1.0833333333333333,-0.3333333333333333,2.5,1.195
