feature,coefficient,feature_group,absolute_coefficient
apparent_cold_flag,-0.15549600523692403,weather,0.15549600523692403
freezing_flag,-0.1472510931221191,weather,0.1472510931221191
match_importance_proxy,-0.1345752247031102,control,0.1345752247031102
windy_flag,-0.11723615687453316,weather,0.11723615687453316
season_progress,0.09805534168452665,control,0.09805534168452665
home_team_goals_for_avg_last_5,0.09334216016028661,control,0.09334216016028661
storm_flag,0.08562281284070358,weather,0.08562281284070358
is_spring_match,0.08494423954914589,control,0.08494423954914589
heavy_rain_flag,0.07747732525590863,weather,0.07747732525590863
apparent_temperature_gap,-0.07671413366437592,weather,0.07671413366437592
hot_flag,0.07300709408346426,weather,0.07300709408346426
match_month,0.0633946125083537,control,0.0633946125083537
home_team_strength_proxy,0.057068552598018456,control,0.057068552598018456
cold_flag,0.0563082841488263,weather,0.0563082841488263
home_team_goal_difference_avg_last_5,0.05421940143403397,control,0.05421940143403397
away_team_goals_for_avg_last_5,0.05026200723452863,control,0.05026200723452863
rain,-0.048461087833128184,weather,0.048461087833128184
is_summer_match,-0.04533359351006732,control,0.04533359351006732
is_winter_match,-0.040610974877999306,control,0.040610974877999306
strong_wind_flag,-0.03908221222764546,weather,0.03908221222764546
home_team_points_avg_last_5,0.0365421711229515,control,0.0365421711229515
rain_flag,0.030087904448200375,weather,0.030087904448200375
away_team_goal_difference_avg_last_5,0.027172534864101715,control,0.027172534864101715
wind,0.027038515300960162,weather,0.027038515300960162
extreme_weather_flag,0.026995864188049685,weather,0.026995864188049685
away_team_strength_proxy,0.02681470951211367,control,0.02681470951211367
strength_gap,0.021378698364884978,control,0.021378698364884978
apparent_temperature,-0.02107981006675742,weather,0.02107981006675742
away_team_points_avg_last_5,0.014562884386212059,control,0.014562884386212059
home_team_goals_against_avg_last_5,0.013924451358617577,control,0.013924451358617577
humidity_flag,0.011373242960170222,weather,0.011373242960170222
away_team_goals_against_avg_last_5,0.010262585784467954,control,0.010262585784467954
humidity,-0.010140795367078834,weather,0.010140795367078834
season_year_start,0.007855359147656761,control,0.007855359147656761
is_autumn_match,-0.005061705784769588,control,0.005061705784769588
temperature,-0.0023655848053124643,weather,0.0023655848053124643
heatwave_flag,-2.7755575615628914e-17,weather,2.7755575615628914e-17
home_advantage,-1.0694624691198431e-17,control,1.0694624691198431e-17
apparent_hot_flag,0.0,weather,0.0
