feature,average_absolute_coefficient,feature_group
apparent_temperature_gap,0.2504117984650507,weather
temperature,0.21870640198225744,weather
extreme_weather_flag,0.1763237100421966,weather
heavy_rain_flag,0.15792611449425092,weather
humidity,0.13645998513260815,weather
rain,0.11870514678381605,weather
apparent_temperature,0.11762390239662224,weather
windy_flag,0.10677680246866639,weather
apparent_cold_flag,0.10408308583748077,weather
season_progress,0.1017057026150854,control
hot_flag,0.10079558544347933,weather
match_importance_proxy,0.0892545283173747,control
away_team_goals_for_avg_last_5,0.07574504102156339,control
away_team_goal_difference_avg_last_5,0.071112264213175,control
freezing_flag,0.0701046484032216,weather
wind,0.06334599019276184,weather
is_summer_match,0.06273511189012614,control
home_team_goal_difference_avg_last_5,0.05726617843894852,control
strong_wind_flag,0.049350917009086455,weather
home_team_goals_against_avg_last_5,0.048381179292141384,control
is_spring_match,0.04308524119161974,control
season_year_start,0.042390319736396766,control
home_team_goals_for_avg_last_5,0.041476457363292286,control
cold_flag,0.039437966989231805,weather
humidity_flag,0.03838213678605691,weather
away_team_goals_against_avg_last_5,0.035737374168592066,control
storm_flag,0.033476846809904315,weather
strength_gap,0.029574961992818644,control
home_team_strength_proxy,0.024496609423676468,control
match_month,0.020688630886547685,control
is_autumn_match,0.019466430950553417,control
is_winter_match,0.018537362105950857,control
away_team_strength_proxy,0.01663350831036547,control
home_team_points_avg_last_5,0.01506828839404579,control
rain_flag,0.014187662605457447,weather
away_team_points_avg_last_5,0.01025292860762337,control
home_advantage,0.0,control
heatwave_flag,0.0,weather
apparent_hot_flag,0.0,weather
