date,home_team,away_team,scenario,predicted_total_goals,predicted_result,predicted_result_label,home_win_probability,draw_probability,away_win_probability
2024-05-19,Sheffield United,Tottenham Hotspur,normal_day,2.768563544054576,draw,Draw,0.35581370733150586,0.38126869003663166,0.2629176026318625
2024-05-19,Sheffield United,Tottenham Hotspur,heavy_rain,2.6761596164911676,draw,Draw,0.18312626043880498,0.4681854632816837,0.34868827627951143
2024-05-19,Sheffield United,Tottenham Hotspur,extreme_cold,2.6982798704032085,loss,Away Win,0.2641765345398493,0.3175165246311372,0.4183069408290135
2024-05-19,Chelsea,Bournemouth,normal_day,2.965545705584975,win,Home Win,0.6744944180819685,0.25411839075034104,0.07138719116769038
2024-05-19,Chelsea,Bournemouth,heavy_rain,3.1506834027441526,win,Home Win,0.4604814896419655,0.41393175462339643,0.12558675573463807
2024-05-19,Chelsea,Bournemouth,extreme_cold,3.011028676553672,win,Home Win,0.6062834563372679,0.2562105922443222,0.13750595141841
2024-05-19,Arsenal,Everton,normal_day,2.9918633297252564,win,Home Win,0.6169662746119137,0.30041674306661015,0.08261698232147624
2024-05-19,Arsenal,Everton,heavy_rain,2.899215977874974,draw,Draw,0.39890920797915613,0.46344222511281113,0.13764856690803276
2024-05-19,Arsenal,Everton,extreme_cold,2.995348795636797,win,Home Win,0.5455175030016702,0.297944260909492,0.15653823608883777
2024-05-19,Brighton,Manchester United,normal_day,2.8000598701728285,win,Home Win,0.38589304120858636,0.3809767930278277,0.23313016576358583
2024-05-19,Brighton,Manchester United,heavy_rain,2.7291268565599616,draw,Draw,0.2035707071065809,0.4795188571910164,0.31691043570240274
2024-05-19,Brighton,Manchester United,extreme_cold,2.717634843658298,loss,Away Win,0.29394685170890317,0.3255097592011416,0.3805433890899552
2024-05-19,Burnley,Nottingham Forest,normal_day,2.744412060665125,win,Home Win,0.5028655537646245,0.32819045305488537,0.16894399318049005
2024-05-19,Burnley,Nottingham Forest,heavy_rain,2.8364457493432407,draw,Draw,0.29215121088253637,0.454925810319383,0.2529229787980805
2024-05-19,Burnley,Nottingham Forest,extreme_cold,2.717388785727472,win,Home Win,0.407833303843569,0.29855226444055916,0.29361443171587187
2024-05-19,Brentford,Newcastle United,normal_day,3.1188023807031526,win,Home Win,0.5246681650944419,0.3218778778570639,0.15345395704849418
2024-05-19,Brentford,Newcastle United,heavy_rain,3.1981035870714747,draw,Draw,0.31080826461896527,0.4549438567140871,0.23424787866694757
2024-05-19,Brentford,Newcastle United,extreme_cold,3.1596874977204523,win,Home Win,0.4319871930498669,0.2972630390379971,0.2707497679121359
2024-05-19,Crystal Palace,Aston Villa,normal_day,3.1173720001693135,win,Home Win,0.6277442596019106,0.28303488155456064,0.08922085884352876
2024-05-19,Crystal Palace,Aston Villa,heavy_rain,3.184375804350931,draw,Draw,0.4094990639178701,0.44052337298851985,0.14997756309361007
2024-05-19,Crystal Palace,Aston Villa,extreme_cold,3.2324388788878955,win,Home Win,0.5523937980353559,0.27936347984154647,0.1682427221230975
2024-05-19,Liverpool,Wolverhampton Wanderers,normal_day,2.922494361520783,win,Home Win,0.6351201893481186,0.27357293676651484,0.09130687388536655
