home_team,stadium_name,city,latitude,longitude,region_group,matches,avg_total_goals,rain_share,avg_temperature,climate_sensitivity_index
Arsenal,Emirates Stadium,London,51.5549,-0.1084,South,95,3.1473684210526316,0.6421052631578947,10.072631578947368,2.247714104050356
Aston Villa,Villa Park,Birmingham,52.5092,-1.8849,North,95,3.1157894736842104,0.7894736842105263,9.42,4.26566625294476
Bournemouth,Vitality Stadium,Bournemouth,50.7352,-1.8384,South,57,2.719298245614035,0.7017543859649122,11.943859649122807,-0.2323539812124284
Brentford,Gtech Community Stadium,London,51.4908,-0.2888,South,57,2.789473684210526,0.6491228070175439,10.628070175438596,-16.27592214018144
Brighton,American Express Stadium,Brighton,50.8616,-0.0837,South,95,2.610526315789474,0.7157894736842105,10.639999999999999,4.935341410829316
Burnley,Turf Moor,Burnley,53.789,-2.2303,North,76,2.539473684210526,0.7236842105263158,8.053947368421053,-13.732594901515943
Chelsea,Stamford Bridge,London,51.4817,-0.191,South,95,2.768421052631579,0.631578947368421,10.538947368421054,-0.2033316218815785
Crystal Palace,Selhurst Park,London,51.3983,-0.0856,South,95,2.5052631578947366,0.5894736842105263,9.837894736842106,9.46175094132863
Everton,Goodison Park,Liverpool,53.4388,-2.9664,North,95,2.442105263157895,0.7789473684210526,9.763157894736842,13.426345137083004
Fulham,Craven Cottage,London,51.4749,-0.2217,South,57,2.6666666666666665,0.7017543859649122,10.538596491228072,-2.676131227734352
Leeds United,Elland Road,Leeds,53.7778,-1.5722,North,57,2.9649122807017543,0.7192982456140351,8.629824561403508,-15.108639800584696
Leicester City,King Power Stadium,Leicester,52.6204,-1.1422,North,76,2.9342105263157894,0.631578947368421,9.063157894736841,7.680583788355393
Liverpool,Anfield,Liverpool,53.4308,-2.9608,North,95,3.2,0.7578947368421053,9.537894736842105,-4.0750870550338405
Luton Town,Kenilworth Road,Luton,51.8842,-0.4315,South,19,3.4210526315789473,0.7368421052631579,9.41578947368421,4.217687074829933
Manchester City,Etihad Stadium,Manchester,53.4831,-2.2004,North,95,3.6526315789473682,0.7052631578947368,9.013684210526316,6.627182847536342
Manchester United,Old Trafford,Manchester,53.4631,-2.2913,North,95,2.968421052631579,0.8210526315789474,9.656842105263157,-9.658469065298618
Newcastle United,St James' Park,Newcastle upon Tyne,54.9756,-1.6217,North,95,2.8842105263157896,0.7368421052631579,8.867368421052632,0.8395707040675496
Norwich City,Carrow Road,Norwich,52.6221,1.3092,North,38,2.9210526315789473,0.5789473684210527,10.428947368421053,-14.130991735537195
Nottingham Forest,City Ground,Nottingham,52.9398,-1.1322,North,38,2.8421052631578947,0.7368421052631579,9.878947368421052,11.815476190476188
Sheffield United,Bramall Lane,Sheffield,53.3703,-1.4701,North,57,2.7017543859649122,0.6666666666666666,8.647368421052631,-26.809534932004564
Southampton,St Mary's Stadium,Southampton,50.9058,-1.3911,South,76,2.789473684210526,0.6447368421052632,10.264473684210527,-11.498634032845157
Tottenham Hotspur,Tottenham Hotspur Stadium,London,51.6043,-0.0664,South,95,3.0736842105263156,0.6526315789473685,9.981052631578947,9.960688431874964
Watford,Vicarage Road,Watford,51.6498,-0.4017,South,38,2.9473684210526314,0.5526315789473685,10.626315789473685,12.63174603174603
West Bromwich Albion,The Hawthorns,West Bromwich,52.509,-1.9639,South,19,2.8421052631578947,0.8421052631578947,5.405263157894737,2.4414062499999987
West Ham United,London Stadium,London,51.5386,-0.0165,South,95,3.0,0.631578947368421,10.493684210526316,-3.993905706084061
Wolverhampton Wanderers,Molineux Stadium,Wolverhampton,52.5903,-2.1304,North,95,2.442105263157895,0.6631578947368421,9.18,-10.025198305800949
