feature,home_win_coefficient,draw_coefficient,away_win_coefficient,average_absolute_coefficient,feature_group
apparent_temperature_gap,0.13180713809803202,0.24381055959954412,-0.3756176976975772,0.2504117984650511,weather
temperature,-0.18917323192161858,-0.13888637105176824,0.32805960297338765,0.21870640198225813,weather
extreme_weather_flag,-0.18091809254460367,-0.08356747251868825,0.2644855650632929,0.17632371004219494,weather
heavy_rain_flag,0.014670236314863467,0.22221893542651205,-0.2368891717413752,0.15792611449425023,weather
humidity,-0.10293621519405768,-0.1017537625048546,0.20468997769891262,0.1364599851326083,weather
rain,0.1311899175664343,-0.1780577201757241,0.04686780260929004,0.11870514678381615,weather
apparent_temperature,-0.12288665572416373,-0.05354919787076936,0.17643585359493305,0.11762390239662206,weather
windy_flag,-0.031052685595951778,0.16016520370299966,-0.12911251810704838,0.10677680246866661,weather
apparent_cold_flag,-0.15612462875622196,0.08234067359433087,0.07378395516189087,0.10408308583748123,weather
season_progress,0.04759611317814804,-0.15255855392263218,0.10496244074448437,0.1017057026150882,control
hot_flag,0.08932296321770522,0.06187041494751524,-0.15119337816521983,0.1007955854434801,weather
match_importance_proxy,0.02827070482329031,0.10561108765277553,-0.13388179247606594,0.08925452831737728,control
away_team_goals_for_avg_last_5,-0.09811483161457227,-0.015502729917773395,0.11361756153234569,0.07574504102156378,control
away_team_goal_difference_avg_last_5,-0.09759834209590235,-0.009070054223859973,0.10666839631976273,0.07111226421317501,control
freezing_flag,0.011568728848032386,0.09358824375679879,-0.10515697260483071,0.07010464840322063,weather
wind,0.04543173139636027,0.049587253892783324,-0.09501898528914333,0.06334599019276231,weather
is_summer_match,0.02960277378682822,0.06449989404836119,-0.09410266783518939,0.06273511189012627,control
home_team_goal_difference_avg_last_5,0.08589926765842303,-0.027747627175258745,-0.05815164048316494,0.057266178438948906,control
strong_wind_flag,0.027844527526859404,0.04618184798676961,-0.07402637551362884,0.04935091700908595,weather
home_team_goals_against_avg_last_5,-0.07257176893821222,0.033620744663274346,0.038951024274938635,0.04838117929214173,control
is_spring_match,-0.01948196318044075,-0.04514589860698774,0.0646278617874295,0.04308524119161933,control
season_year_start,0.058379528535825696,0.005205951068769714,-0.06358547960459492,0.04239031973639678,control
home_team_goals_for_avg_last_5,0.062214686044938836,-0.010882994389115776,-0.05133169165582287,0.041476457363292495,control
cold_flag,0.03795040060298391,-0.05915695048384787,0.021206549880864428,0.03943796698923207,weather
humidity_flag,-0.026467726476031617,0.05757320517908601,-0.03110547870305406,0.03838213678605723,weather
away_team_goals_against_avg_last_5,0.0536060612528879,-0.002026627797996154,-0.05157943345489179,0.03573737416859195,control
storm_flag,0.0502152702148558,-0.01596361992597953,-0.034251650288876695,0.03347684680990401,weather
strength_gap,0.0443624429892278,-0.008408280025629739,-0.03595416296359783,0.02957496199281846,control
home_team_strength_proxy,0.036744914135514874,-0.01171962563513492,-0.025025288500379887,0.024496609423676558,control
match_month,0.019432894252975032,0.011600052076846713,-0.031032946329821846,0.020688630886547862,control
is_autumn_match,0.026164632884281357,-0.029199646425830558,0.0030350135415486094,0.019466430950553507,control
is_winter_match,-0.027806043158926236,0.021688641513877796,0.006117401645048398,0.01853736210595081,control
away_team_strength_proxy,-0.02495026246554838,3.6933528748907865e-05,0.024913328936799442,0.016633508310365575,control
home_team_points_avg_last_5,0.022602432591068512,-0.011133844922295596,-0.011468587668772737,0.015068288394045615,control
rain_flag,0.01784577632838605,-0.02128149390818651,0.003435717579800871,0.01418766260545781,weather
away_team_points_avg_last_5,0.008632152967860945,0.006747239943573599,-0.01537939291143541,0.01025292860762332,control
home_advantage,0.0,0.0,0.0,0.0,control
heatwave_flag,0.0,0.0,0.0,0.0,weather
apparent_hot_flag,0.0,0.0,0.0,0.0,weather
