feature,permutation_importance_mean,permutation_importance_std,feature_group
rain,0.004248422337144608,0.0042592015638874565,weather
away_team_goals_for_avg_last_5,0.003737511928317039,0.00291192691035814,control
rain_flag,0.0013347978189053756,0.0007779153322082878,weather
home_team_goals_for_avg_last_5,0.001296261552998379,0.0028979907228103043,control
temperature,0.0002949883975253975,0.0019099489731229503,weather
extreme_weather_flag,0.0002861187522806063,0.00010520384631942287,weather
strength_gap,0.0002263753045305017,0.0016694693493002023,control
is_autumn_match,0.00010619761395407324,0.00014422282516481663,control
is_spring_match,9.081823346270834e-05,0.0004938543166240823,control
is_summer_match,4.489459687763153e-05,7.180662055524426e-05,control
heatwave_flag,-1.1102230246251566e-17,4.839349969133125e-17,weather
strong_wind_flag,-1.1102230246251566e-17,4.839349969133125e-17,weather
storm_flag,-2.2204460492503132e-17,6.66133814775094e-17,weather
season_year_start,-2.2204460492503132e-17,6.66133814775094e-17,control
heavy_rain_flag,-3.3306690738754695e-17,1.0590852655056278e-16,weather
apparent_hot_flag,-4.4408920985006264e-17,8.881784197001254e-17,weather
home_advantage,-4.4408920985006264e-17,1.1322097734007353e-16,control
hot_flag,-4.4408920985006264e-17,8.881784197001254e-17,weather
cold_flag,-5.551115123125783e-17,1.1905815549843722e-16,weather
windy_flag,-4.403570775812771e-05,3.370222394990789e-05,weather
apparent_cold_flag,-7.987734632447507e-05,8.242670014782393e-05,weather
freezing_flag,-0.00013361754344385358,6.623014645177243e-05,weather
humidity_flag,-0.00032217747372165206,0.0002496365214240818,weather
home_team_goal_difference_avg_last_5,-0.0003881949690905384,0.003170478098428854,control
away_team_goals_against_avg_last_5,-0.0004480968771848004,0.001222048316178415,control
humidity,-0.0004983767100878112,0.001581011821616822,weather
home_team_points_avg_last_5,-0.0007361700887184242,0.0007219005656053712,control
away_team_points_avg_last_5,-0.0009791074805625133,0.0012470664159741547,control
wind,-0.0010649419830213835,0.0030569471467729696,weather
is_winter_match,-0.0010942880779375996,0.0004447397623034538,control
away_team_goal_difference_avg_last_5,-0.0014439234660915568,0.001030476516785015,control
home_team_goals_against_avg_last_5,-0.0015875674749005308,0.0022314142396714833,control
season_progress,-0.0022241258781939056,0.004172193000606186,control
home_team_strength_proxy,-0.0030542037008329916,0.0064592064851513396,control
apparent_temperature,-0.003192176288631987,0.0019718556952711013,weather
away_team_strength_proxy,-0.003283448920552834,0.0017155738785158013,control
match_month,-0.005848223627395699,0.0018914236625302177,control
apparent_temperature_gap,-0.007441673455310294,0.0044891665525399315,weather
match_importance_proxy,-0.007705593279360601,0.005037470341776127,control
