feature,model_importance,feature_group
match_importance_proxy,0.09201521362708498,control
season_progress,0.08086534270703868,control
home_team_strength_proxy,0.08031503830101586,control
wind,0.07812287511390413,weather
rain,0.07361667319407274,weather
away_team_strength_proxy,0.05699952329345472,control
apparent_temperature,0.0524740095864398,weather
apparent_temperature_gap,0.05187463688451956,weather
home_team_goals_for_avg_last_5,0.048035859750928514,control
temperature,0.04800809540948891,weather
strength_gap,0.04590836746156895,control
humidity,0.043159451164899894,weather
home_team_goal_difference_avg_last_5,0.039022248785587556,control
away_team_goals_for_avg_last_5,0.03634173292663486,control
home_team_goals_against_avg_last_5,0.03535038892064106,control
match_month,0.029266398242631417,control
away_team_goals_against_avg_last_5,0.026390154898252777,control
away_team_goal_difference_avg_last_5,0.023323215533272837,control
away_team_points_avg_last_5,0.017107175311139842,control
home_team_points_avg_last_5,0.013532855351905265,control
season_year_start,0.011300685449511799,control
rain_flag,0.004277570148489732,weather
is_winter_match,0.0035772331163400834,control
is_spring_match,0.0028894845066899195,control
is_autumn_match,0.0017395952524449497,control
humidity_flag,0.0015081584734020917,weather
extreme_weather_flag,0.001462520179601766,weather
is_summer_match,0.0005534596899234033,control
apparent_cold_flag,0.0004353022340989591,weather
freezing_flag,0.0003459241342166645,weather
windy_flag,0.00018081035079831832,weather
strong_wind_flag,0.0,weather
heavy_rain_flag,0.0,weather
home_advantage,0.0,control
apparent_hot_flag,0.0,weather
storm_flag,0.0,weather
heatwave_flag,0.0,weather
cold_flag,0.0,weather
hot_flag,0.0,weather
