date,home_team,away_team,home_goals,away_goals,temperature,apparent_temperature,humidity,rain,wind,weather_code,heavy_rain_flag,strong_wind_flag,freezing_flag,heatwave_flag,storm_flag,extreme_weather_flag
2019-08-09,Liverpool,Norwich City,4,1,18.8,17.1,81,13.4,28.7,63,1,0,0,0,0,1
2019-08-10,Bournemouth,Sheffield United,1,1,17.7,12.4,75,2.3,54.8,51,0,1,0,0,0,1
2019-08-10,Burnley,Southampton,3,0,15.8,13.3,90,20.8,35.2,63,1,0,0,0,0,1
2019-08-10,Crystal Palace,Everton,0,0,18.1,13.6,72,1.4,47.1,53,0,0,0,0,0,0
2019-08-10,Tottenham Hotspur,Aston Villa,3,1,18.1,13.9,72,2.4,44.6,55,0,0,0,0,0,0
2019-08-10,Watford,Brighton,0,3,17.7,13.7,73,2.2,44.6,53,0,0,0,0,0,0
2019-08-10,West Ham United,Manchester City,0,5,18.4,14.1,70,1.9,45.8,53,0,0,0,0,0,0
2019-08-11,Leicester City,Wolverhampton Wanderers,0,0,16.0,13.4,79,8.8,35.1,63,0,0,0,0,0,0
2019-08-11,Manchester United,Chelsea,4,0,14.9,12.7,81,4.6,24.5,53,0,0,0,0,0,0
2019-08-11,Newcastle United,Arsenal,0,1,14.8,14.3,89,18.7,16.3,63,1,0,0,0,0,1
2019-08-17,Arsenal,Burnley,2,1,18.2,16.4,76,0.6,26.4,51,0,0,0,0,0,0
2019-08-17,Aston Villa,Bournemouth,1,2,15.7,12.9,73,0.8,25.8,53,0,0,0,0,0,0
2019-08-17,Brighton,West Ham United,1,1,17.6,15.3,83,1.8,32.0,53,0,0,0,0,0,0
2019-08-17,Everton,Watford,1,0,16.0,13.0,71,1.5,28.0,53,0,0,0,0,0,0
2019-08-17,Manchester City,Tottenham Hotspur,2,2,15.8,13.0,72,0.8,25.9,51,0,0,0,0,0,0
2019-08-17,Norwich City,Newcastle United,3,1,18.4,16.1,68,0.3,26.8,51,0,0,0,0,0,0
2019-08-17,Southampton,Liverpool,1,2,17.4,15.9,79,0.1,23.8,51,0,0,0,0,0,0
2019-08-18,Chelsea,Leicester City,1,1,16.7,14.7,72,1.5,25.9,53,0,0,0,0,0,0
2019-08-18,Sheffield United,Crystal Palace,1,0,15.0,11.9,70,0.2,28.1,51,0,0,0,0,0,0
2019-08-19,Wolverhampton Wanderers,Manchester United,1,1,14.4,12.2,74,1.7,20.7,53,0,0,0,0,0,0
2019-08-23,Aston Villa,Everton,2,0,17.8,17.6,81,0.0,14.6,3,0,0,0,0,0,0
2019-08-24,Brighton,Southampton,0,2,20.0,19.7,67,0.0,13.0,3,0,0,0,0,0,0
2019-08-24,Liverpool,Arsenal,3,1,19.0,18.6,74,0.0,17.2,3,0,0,0,0,0,0
2019-08-24,Manchester United,Crystal Palace,1,2,19.4,19.3,71,0.0,13.1,1,0,0,0,0,0,0
2019-08-24,Norwich City,Chelsea,2,3,19.1,19.4,75,0.0,13.5,3,0,0,0,0,0,0
2019-08-24,Sheffield United,Leicester City,1,2,19.0,19.0,74,0.0,13.4,3,0,0,0,0,0,0
2019-08-24,Watford,West Ham United,1,3,19.5,19.5,70,0.0,10.5,3,0,0,0,0,0,0
2019-08-25,Bournemouth,Manchester City,1,3,20.8,21.2,71,0.2,14.5,51,0,0,0,0,0,0
2019-08-25,Tottenham Hotspur,Newcastle United,0,1,22.1,22.9,68,0.0,9.0,3,0,0,0,0,0,0
2019-08-25,Wolverhampton Wanderers,Burnley,1,1,21.0,21.1,66,0.0,12.1,3,0,0,0,0,0,0
2019-08-31,Burnley,Liverpool,0,3,13.7,10.5,83,2.9,33.7,53,0,0,0,0,0,0
2019-08-31,Chelsea,Sheffield United,2,2,17.1,15.6,72,0.3,27.0,51,0,0,0,0,0,0
2019-08-31,Crystal Palace,Aston Villa,1,0,17.0,15.5,73,0.2,25.4,51,0,0,0,0,0,0
2019-08-31,Leicester City,Bournemouth,3,1,15.0,12.1,77,0.8,32.4,51,0,0,0,0,0,0
2019-08-31,Manchester City,Brighton,4,0,14.7,11.9,76,1.7,28.0,53,0,0,0,0,0,0
2019-08-31,Newcastle United,Watford,1,1,15.3,12.1,71,0.1,29.8,51,0,0,0,0,0,0
2019-08-31,Southampton,Manchester United,1,1,16.0,14.2,77,0.7,27.8,51,0,0,0,0,0,0
2019-08-31,West Ham United,Norwich City,2,0,17.2,15.9,71,0.4,26.5,51,0,0,0,0,0,0
2019-09-01,Arsenal,Tottenham Hotspur,2,2,15.1,12.2,57,0.0,19.7,3,0,0,0,0,0,0
2019-09-01,Everton,Wolverhampton Wanderers,3,2,13.8,10.1,70,2.2,31.8,51,0,0,0,0,0,0
2019-09-14,Brighton,Burnley,1,1,15.0,14.1,77,0.0,15.0,3,0,0,0,0,0,0
2019-09-14,Liverpool,Newcastle United,3,1,13.3,11.5,78,0.0,14.7,3,0,0,0,0,0,0
2019-09-14,Manchester United,Leicester City,1,0,12.6,10.9,76,0.0,15.8,3,0,0,0,0,0,0
2019-09-14,Norwich City,Manchester City,3,2,14.2,12.8,72,0.0,15.6,3,0,0,0,0,0,0
